78,70,3,139,152,2,90,77 1
90,67,4,155,117,90,101,82 1
266,115,0,2,516,167,275,220 1
261,42,2,3,518,170,280,220 1
290,112,0,2,530,155,291,223 1
288,112,0,2,526,150,287,222 1
258,119,0,3,487,117,266,222 1
0,2,0,2,482,115,267,222 1
258,432,1,3,479,113,267,221 1
0,2,0,2,494,0,266,218 1
266,443,0,3,491,0,265,217 1
263,444,0,2,487,0,262,217 1
254,463,0,3,487,0,259,218 1
257,463,0,3,465,142,257,222 1
236,26,0,2,471,144,255,220 1
240,63,1,3,472,142,247,215 1
0,2,0,2,474,157,244,212 1
242,405,0,2,469,149,243,210 1
254,376,0,3,472,0,243,170 1
245,354,0,2,453,0,238,167 1
232,345,0,3,436,0,232,161 1
241,96,1,3,417,0,226,159 1
224,334,0,2,407,0,221,163 1
229,343,0,2,406,0,220,163 1
238,86,0,3,404,0,221,161 1
233,87,0,2,404,1,219,161 1
27,130,0,2,104,138,41,80 1
60,130,0,2,122,181,49,90 1
0,2,0,2,122,182,48,89 1
231,87,0,2,420,0,220,161 1
238,101,0,2,432,0,224,163 1
255,331,1,3,465,0,238,161 1
251,331,0,2,479,0,244,160 1
236,330,0,3,474,0,243,159 1
239,331,0,3,475,0,241,160 1
241,331,0,3,477,0,242,160 1
239,331,0,3,475,0,243,159 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
184,58,0,64,395,153,202,171 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 1
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
126,335,16,376,259,388,142,205 0
118,335,18,295,247,146,134,202 0
131,337,3,144,233,88,133,203 0
114,60,17,295,241,94,132,202 0
117,60,6,144,244,93,135,203 0
117,338,3,144,231,85,133,203 0
115,60,17,295,240,93,134,204 0
112,60,17,295,240,96,131,204 0
115,336,17,295,239,95,131,204 0
118,336,4,145,231,363,134,204 0
118,337,4,144,229,85,134,203 0
125,336,20,295,244,95,135,203 0
132,336,18,295,231,85,133,203 0
134,337,6,144,248,155,135,203 0
130,337,18,294,229,85,132,203 0
130,337,17,295,237,92,131,203 0
128,337,16,294,238,111,130,203 0
130,337,4,146,229,84,132,202 0
131,337,3,144,237,93,131,203 0
127,337,19,295,229,86,131,203 0
119,337,16,343,228,87,129,203 0
142,338,17,295,237,93,131,203 0
114,338,16,296,231,331,130,205 0
144,339,11,306,228,86,131,204 0
0,0,0,0,0,0,0,0 0
94,2,5,145,230,85,133,204 0
95,2,6,145,232,87,133,203 0
131,337,14,300,237,105,129,204 0
142,336,1,145,224,83,130,208 0
132,343,3,144,235,85,138,213 0
117,2,4,145,232,0,142,217 0
147,49,3,145,237,0,144,222 0
102,356,18,356,180,0,90,233 0
84,53,3,291,147,91,92,225 0
55,74,21,120,165,0,74,223 0
108,398,14,373,210,0,103,231 0
146,415,4,144,260,0,153,239 0
140,82,18,144,268,0,158,242 0
118,2,0,207,274,453,150,241 0
0,0,0,0,0,0,0,0 0
115,384,22,119,245,421,131,248 0
118,415,21,123,243,417,132,246 0
82,2,1,280,241,415,131,227 0
119,378,17,147,241,411,135,242 0
93,2,17,150,245,405,136,221 0
125,377,1,229,252,404,142,219 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
128,381,0,208,248,415,145,225 0
132,382,1,209,252,417,149,222 0
0,0,0,0,0,0,0,0 0
113,2,1,211,256,415,150,230 0
170,107,1,211,254,417,151,222 0
0,0,0,0,0,0,0,0 0
114,2,1,211,254,419,151,224 0
0,0,0,0,0,0,0,0 0
140,412,0,201,248,419,142,242 0
102,2,0,208,250,420,144,224 0
0,0,0,0,0,0,0,0 0
140,412,0,205,252,421,144,243 0
127,403,0,210,252,425,146,227 0
105,2,0,205,250,427,147,243 0
106,2,0,209,254,426,148,243 0
137,114,0,209,254,427,148,226 0
135,114,0,208,254,429,149,242 0
134,116,0,208,254,429,148,242 0
114,114,13,119,216,0,124,243 0
124,114,15,118,231,437,124,243 0
100,399,17,120,224,453,118,236 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
126,111,4,144,205,0,108,242 0
132,115,5,144,208,477,115,238 0
111,118,5,145,216,476,123,232 0
100,419,0,137,195,477,105,231 0
116,73,1,144,214,477,128,231 0
128,67,4,144,218,0,137,231 0
131,64,1,145,250,316,140,235 0
125,80,1,144,278,326,144,237 0
143,380,1,145,264,124,142,243 0
92,2,2,144,266,349,139,244 0
147,381,1,144,259,144,131,243 0
72,2,1,145,259,160,126,241 0
0,0,0,0,0,0,0,0 0
125,382,1,144,262,173,128,244 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
72,2,4,144,247,103,133,243 0
114,372,1,145,260,144,130,242 0
71,2,1,145,265,168,130,244 0
76,2,5,145,265,145,135,244 0
74,2,3,145,263,146,133,244 0
133,372,5,145,274,189,135,244 0
134,372,1,145,263,160,131,241 0
140,399,1,144,263,162,131,243 0
149,377,5,144,274,191,135,243 0
75,2,1,145,263,147,132,243 0
79,2,5,145,271,167,136,243 0
153,382,5,144,276,192,137,244 0
136,384,5,145,266,145,136,243 0
46,119,5,145,270,164,137,243 0
154,385,5,145,267,145,137,243 0
138,426,1,145,266,165,133,245 0
143,379,1,144,268,166,133,244 0
130,417,1,144,265,154,133,244 0
83,2,6,144,277,187,139,244 0
78,2,1,144,268,168,134,241 0
77,2,1,145,269,167,134,245 0
124,394,5,145,273,167,138,245 0
129,372,1,145,238,93,134,242 0
80,2,4,144,253,103,137,244 0
155,399,6,144,270,156,139,244 0
147,381,5,144,270,158,138,244 0
81,2,5,144,268,144,137,244 0
80,2,4,144,268,148,137,243 0
80,2,4,144,270,161,137,244 0
81,2,6,144,277,187,139,244 0
144,381,5,145,273,171,137,243 0
76,2,2,144,267,161,134,244 0
121,400,4,144,271,167,135,242 0
74,2,1,144,265,165,132,244 0
73,2,1,144,241,100,131,243 0
77,2,4,145,268,170,133,244 0
77,2,5,145,267,161,134,244 0
153,387,5,145,270,175,134,242 0
136,374,1,145,263,163,130,244 0
117,371,5,145,247,102,133,242 0
130,422,1,144,241,101,129,244 0
150,401,5,144,241,98,133,243 0
136,388,1,144,268,191,129,243 0
130,369,1,144,263,168,129,241 0
150,421,5,144,262,144,132,242 0
69,2,2,144,262,161,129,242 0
143,395,5,144,262,148,132,241 0
131,418,4,145,262,153,131,243 0
124,119,1,144,248,77,141,221 0
143,304,5,144,256,132,140,220 0
88,2,1,145,247,111,137,192 0
138,302,1,144,247,111,137,220 0
129,302,5,145,251,111,141,221 0
123,301,5,145,260,144,141,219 0
119,301,1,145,248,111,136,221 0
118,301,1,144,249,112,136,220 0
90,2,1,144,249,112,137,222 0
130,302,6,144,254,112,142,222 0
129,302,1,237,232,63,143,193 0
128,86,1,144,245,85,137,220 0
128,86,1,144,247,92,136,222 0
150,317,1,145,226,61,136,221 0
158,367,6,145,259,131,141,219 0
132,86,5,145,253,113,140,219 0
140,301,1,145,242,73,138,198 0
91,2,1,144,248,112,138,191 0
128,86,1,145,249,113,137,221 0
112,413,0,207,266,188,130,243 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
85,2,0,210,273,157,141,247 0
61,2,19,430,244,157,117,249 0
124,384,0,210,283,204,140,247 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
145,450,0,204,260,119,138,248 0
128,412,8,145,249,155,119,248 0
0,0,0,0,0,0,0,0 0
0,0,0,0,0,0,0,0 0
130,441,0,207,269,164,139,248 0
